season,year,NAME,hydroid,srp_mgl,nitrate_mgl,urban,barren,forest,shrubland,herbaceous,ag,wetland,areakm2,vert_cond_ksat_meters_day,driftthickness_mean_meters,Numberofdams,damspresent,latitude,longitude
summer,1,East Twin River,2109445,0.04012,0.325342,7.77417443,0.28704503,8.896217861,1.028157696,0.637024453,71.19037711,10.18700342,788.1003,0.320249576,22.82243147,9,yes,44.146612,-87.564069
summer,1,Manitowac River,2109449,0.042601,0.300578,7.850644247,0.297446564,6.278795288,0.486261621,0.582786206,69.64629264,14.85777344,1368.0153,0.220471002,19.54072657,14,yes,44.09275,-87.65678
summer,1,Sheboygan River,2109470,0.126186,1.587487,9.961867832,0.157891008,10.22547577,0.522062873,0.594204812,63.93039913,14.60809858,1126.8315,0.235906358,28.7606626,25,yes,43.745236,-87.712642
summer,1,Sucker Creek,2109483,0.176408,0.912678,15.25897541,0.018845997,2.336903603,0.248138958,0.23557496,78.95216258,2.949398499,28.7037,0.173657666,27.99844308,0,no,43.442077,-87.83028
summer,1,No Name,2109476,0.0497,0.343024,18.43775876,0.027601435,2.677339222,0.690035882,1.159260282,63.64890974,13.35909467,3.2607,0.437670768,29.94659964,0,no,43.613258,-87.76441
summer,1,Black River,2109472,0.215009,0.396878,27.69814183,0.034129693,5.58589306,0.176336746,0.424725066,50.45506257,15.62571104,47.5236,0.529346445,30.63721219,1,yes,43.701728,-87.708292
summer,1,,2109467,0.083888,0.440792,29.16157916,0.050875051,5.112942613,0.630850631,2.614977615,58.87769638,3.551078551,17.7084,0.2592,,0,no,43.801608,-87.726336
summer,1,Fischer Creek,2109458,0.064457,3.106843,5.453114119,0.27553214,6.098040997,0.393617343,0.387561692,82.41438823,4.977745481,29.7711,0.24950042,30.62087429,0,no,43.937855,-87.72152
summer,1,Point Creek,2109456,0.105694,1.508969,6.405239198,0.159731651,4.523600351,0.372174746,0.420094242,80.25077869,7.86838112,56.412,0.273108096,26.97345167,0,no,43.962022,-87.708973
summer,1,Silver Creek,2109452,0.15731,0.823312,12.92059603,0.152425995,3.797828998,0.995754865,0.556995926,73.47075415,8.105644035,63.819,0.272614223,30.97053772,0,no,44.061842,-87.660778
summer,1,Molash Creek,2109444,0.147072,1.649334,6.118660429,0.004950373,2.019751986,0.690576966,0.185638969,52.31306156,38.66735972,36.4203,0.394575735,29.85346652,0,no,44.180837,-87.534576
summer,1,No Name,2109430,0.091861,0.840108,5.940274415,0.0322841,0.920096852,0.629539952,0,91.23486683,1.242937853,5.5755,0.156059264,30.25139952,0,no,44.305549,-87.546459
summer,1,Keyes Creek,2109361,0.029557,0.071415,4.143662132,0.059764358,17.22067278,0.566338437,0.167909386,53.95583129,23.88582162,31.644,0.25434929,1.545600036,0,no,44.820175,-87.566647
summer,1,Whitefish Bay Creek,2109325,0.0015,0.291891,5.796077545,0.01554287,18.23461256,0.666930424,0.440852314,53.40812751,21.43785678,67.6458,0.376021207,1.223749257,1,yes,44.911229,-87.213309
summer,1,Stony Creek,2109387,0.071943,1.082105,4.572342126,0.001453383,7.945643485,0.876389797,0.180219461,63.63781702,22.78613473,61.9299,0.379136025,11.92711442,0,no,44.67933,-87.397635
summer,1,Kewaunee River,2109417,0.032674,0.285322,6.662635945,0.102637116,8.192928522,0.618504424,0.418593652,77.69166445,6.313035889,369.9585,0.262943732,22.07564293,5,yes,44.463889,-87.503915
summer,1,Mashek Creek,2109415,0.047165,1.749438,3.990312536,0.02306539,5.051320494,0.611232845,0,72.76554031,17.55852843,15.6078,0.24463124,36.40182967,1,yes,44.503631,-87.486415
summer,1,Silver Creek,2109391,0.11998,1.14204,4.948656959,0.011602947,2.610663108,1.537390497,0.150838313,65.2259674,25.51488078,15.5133,0.308509042,17.07396625,0,no,44.651919,-87.397653
summer,1,Woodard Creek,2109375,0.020044,0.655534,3.917590136,0.015607929,6.820664898,2.684563758,0.124863431,69.09630092,17.34040893,5.7663,0.417261569,18.76697159,0,no,44.725319,-87.343567
summer,1,Lily Bay Creek,2109345,0.013173,0.916628,5.805016583,0.083411118,14.66248287,0.855956944,0.041705559,70.18846941,8.36295752,45.3177,0.300577878,1.310134808,0,no,44.850017,-87.26738
summer,1,Heins Creek,2109309,0.0015,0.046761,7.205234742,0.136839748,20.28711467,0.626974846,0.584678924,56.81337546,14.3457816,40.9536,0.250313789,0.899440492,2,yes,45.016305,-87.148723
summer,1,Big Creek,2109350,0.021021,0.677878,9.465671867,0.056522722,8.165649258,0.998568091,0.48609541,71.27515261,9.552340041,23.8842,0.277421284,0.808382597,0,no,44.827732,-87.346139
summer,1,No Name,2109359,0.031611,0.126108,5.272557851,0,12.16803852,1.125951235,0.031060724,67.47942227,13.92296941,11.5902,0.228113568,1.524000049,0,no,44.829135,-87.568643
summer,1,No Name,2109383,0.067856,0.586988,7.006711409,1.22147651,23.97315436,0.711409396,1.677852349,60.7114094,4.697986577,6.705,0.567335507,26.44140085,0,no,44.704784,-87.716937
summer,1,No Name,2109395,0.310177,3.423752,9.964412811,0,7.148383104,0.402289958,0.247563051,81.66486152,0.572489556,5.8167,0.1786423,30.67878309,0,no,44.644612,-87.759942
summer,1,Tibbet Creek,2109386,0.046717,0.316864,7.264879952,0.067195617,29.50921355,0.612513891,0.294626935,44.18628693,18.06528313,34.9533,1.868782336,14.63040032,0,no,44.717985,-87.997351
summer,1,,2109376,0.07039,0.028414,5.902878744,0.058156441,33.12009305,2.704274498,1.046815935,17.33061937,39.83716197,3.096,0.731476307,5.768622288,0,no,44.7644,-87.974224
summer,1,No Name,2109366,0.007542,0.056115,4.511986301,0,51.37842466,3.535958904,1.267123288,5.077054795,34.22945205,10.521,1.908026735,10.92076122,0,no,44.840812,-87.875061
summer,1,Peshtigo River,2109316,0.006755,0.154016,4.550464175,0.041507132,44.14991087,1.886679211,1.236621926,15.7657292,32.36908748,2919.4038,1.087898427,28.61446457,21,yes,44.973925,-87.656663
summer,1,No Name,2109327,0.079756,0.218686,6.688311688,0,14.16883117,0.593073593,1.12987013,50.69264069,26.72727273,20.8368,0.629826276,12.73628616,0,no,44.943817,-87.828959
summer,1,Menominee River,2109298,0.009282,0.200262,4.015014316,0.142125803,55.09010367,2.028439597,2.475071648,4.45791409,31.79133087,10535.0895,0.792454648,14.93770063,77,yes,45.097459,-87.598165
summer,1,Bark River,2109217,,,5.33322624,0.543496449,27.73103619,1.221528349,2.538101645,17.12281547,45.50979565,135.0036,1.279285305,7.668946141,0,no,45.577825,-87.246104
summer,1,Hay Creek,2109283,0.011438,0.389244,59.75512377,0,14.98536066,0,0.266169816,18.71173809,6.281607666,3.3894,3.364535274,9.237784679,0,no,45.134589,-87.61791
summer,1,Bis Creek,2109272,0.014037,0.086996,10.57934509,0,15.28652393,0.125944584,3.794080605,15.28652393,54.92758186,5.7321,2.284242759,10.90352752,0,no,45.172215,-87.576506
summer,1,Springer Creek,2109270,0.016924,0.206015,6.260564296,0.039006631,25.87439865,0.214536471,2.743466389,10.26524509,54.60278247,13.8537,1.426467195,9.897687409,0,no,45.181765,-87.566641
